raw_name,norm_basic,norm_alias,sources,mention_count,owner,country,region,founded,type,status,match_method_used
Finnieston,finnieston,finnieston,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Fuji Hokuroku Distillery,fuji hokuroku distillery,fuji hokuroku,data/books/yeni veriler/distilleries.csv,1,Kirin Distillery Company,Japan,Chūbu,,,,unmatched
Galloway Distillery (Crafty),galloway distillery (crafty),galloway,data/books/yeni veriler/distilleries.csv,1,"Sam Heughan, Alex Norouzi (2025)",Scotland,Lowland,,A2 - Alembic,,unmatched
Garnheath,garnheath,garnheath,data/books/yeni veriler/distilleries.csv,1,X,Scotland,?,,C - Column,,unmatched
Gartloch,gartloch,gartloch,data/books/yeni veriler/distilleries.csv,1,X,Scotland,?,,Grain whisky,,unmatched
"Glasgow Distillery Company, The","glasgow distillery company, the",glasgow distillery company,data/books/yeni veriler/distilleries.csv,1,The Glasgow Distillery Company,Scotland,Lowland,,A2 - Alembic,,unmatched
Glen Albyn,glen albyn,glen albyn,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Glen Flagler,glen flagler,glen flagler,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Lowland,,A2 - Alembic,,unmatched
Glen Keith Distillery,glen keith distillery,glen keith,data/books/yeni veriler/distilleries.csv,1,Chivas Brothers,Scotland,Speyside,,A2 - Alembic,,unmatched
Glen Mhor,glen mhor,glen mhor,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Highland,,A2 - Alembic,,unmatched
Glen Nevis,glen nevis,glen nevis,data/books/yeni veriler/distilleries.csv,1,X,Scotland,Campbeltown,,A2 - Alembic,,unmatched
