uuid_whisky_id,distillery_id,age,abv,name,reason
42812528-9261-5bb6-9024-864d8d78cb27,D1909,21.0,54.8,Teaninich SMWS 059.32 - A Mild Mannered Chameleon,distillery_id_absent_from_W_set
c7000075-6e4e-539b-a2c2-e016ea3336ce,D1909,16.0,59.7,Teaninich SMWS 59.39 - gateway to Narnia!,distillery_id_absent_from_W_set
64c9c84f-64ae-5ab9-8dd0-2db5839d53c8,D1909,27.0,55.0,Teaninich SMWS 59.40 - SMWS 59.40,distillery_id_absent_from_W_set
b9ae0e40-4622-576c-8288-e24d0d00b4e7,D1909,29.0,45.7,Teaninich SMWS 59.41 - SMWS 59.41,distillery_id_absent_from_W_set
757eae60-5e83-5475-ba55-c2907b8b93e9,D1909,30.0,51.2,Teaninich SMWS 59.48 - SMWS 59.48,distillery_id_absent_from_W_set
9a23dba3-6324-5374-b611-84734b86b04c,D1909,30.0,49.2,Teaninich SMWS 59.49 - SMWS 59.49,distillery_id_absent_from_W_set
ef48b040-83db-5c6b-95da-cc3f219c9a45,D1909,30.0,51.5,Teaninich SMWS 59.51 - SMWS 59.51,distillery_id_absent_from_W_set
68e01dd9-147e-55df-b08b-4185fbeb26b4,D2001,24.0,59.3,"Glenlochy SMWS 62.13 - Prunes, Coffee Beans and Almonds",distillery_id_absent_from_W_set
2b28b0ac-5533-57d5-aafb-cd990d7c350f,D2001,26.0,59.6,Glenlochy SMWS 62.16 - A Classic,distillery_id_absent_from_W_set
80b95c2f-d9d6-514b-b5cd-3c18774d2a7b,D2001,23.0,59.9,Glenlochy SMWS 062.8 - Licorice and Fruit,distillery_id_absent_from_W_set
477544ad-871e-5747-927e-c73dfd020c4d,D1868,19.0,52.3,Glentauchers SMWS 63.23 - SMWS 63.23,distillery_id_absent_from_W_set
68640243-ac86-56de-b3d7-b1c51baf2768,D1868,21.0,52.6,Glentauchers SMWS 63.26 - SMWS 63.26,distillery_id_absent_from_W_set
6a608283-1078-579e-9c99-b0f0418ac01d,D1868,5.0,62.3,Glentauchers SMWS 63.27 - SMWS 63.27,distillery_id_absent_from_W_set
35889486-794e-59a6-959b-d5a1c03bd14a,D1868,23.0,53.0,Glentauchers SMWS 63.29 - SMWS 63.29,distillery_id_absent_from_W_set
c89c8404-2033-5b00-a517-c9d0ee9e1963,D1868,25.0,51.6,Glentauchers SMWS 63.31 - SMWS 63.31,distillery_id_absent_from_W_set
56e069bf-6886-507d-9dbd-ecbcc162a7e5,D1868,25.0,50.7,Glentauchers SMWS 63.35 - SMWS 63.35,distillery_id_absent_from_W_set
27aff9f7-a2de-5b17-be60-fc35ac6c9a3a,D1891,23.0,62.2,Mannochmore SMWS 064.11 - Burnt Heather Dipped in Syrup,distillery_id_absent_from_W_set
6f658247-ce6c-5917-9718-99c92d81dab6,D1891,13.0,57.1,Mannochmore SMWS 64.13 - Fizzy Sweets and Nutty Chocolate,distillery_id_absent_from_W_set
da1b0001-0e00-5f4d-bd61-9d9b7d9fae41,D1891,8.0,61.5,Mannochmore SMWS 64.19 - Woof!,distillery_id_absent_from_W_set
7fa0edcd-1e28-5989-9177-f2a5db78309c,D1891,27.0,54.9,Mannochmore SMWS 64.21 - SMWS 64.21,distillery_id_absent_from_W_set
