source,source_file,source_row,brand_name,type,owner,distillery,country,whisky_count,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,brands.csv,42,Blackness Bay,Distillery brand,Colm O'Rourke,Blackness,Scotland,0,https://whiskynet.pl/en/brands/blackness-bay,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,43,Blacks of Kinsale,Distillery brand,Blacks of Kinsale Distillery Ltd.,Blacks of Kinsale,Ireland,0,https://whiskynet.pl/en/brands/blacks-of-kinsale,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,44,Blackwater,Distillery brand,Blackwater Distillery Ltd,Blackwater Distillery,Ireland,0,https://whiskynet.pl/en/brands/blackwater,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,45,Blair Athol,Distillery brand,Diageo,Blair Athol,Scotland,0,https://whiskynet.pl/en/brands/blair-athol,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,46,Blairmhor,Official brand,Quality Spirits International,—,Scotland,1,https://whiskynet.pl/en/brands/blairmhor,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,47,Booker’s,Official brand,Suntory Global Spirits,Jim Beam Distillery,USA,1,https://whiskynet.pl/en/brands/bookers,EXACT_MATCH,Booker’s,1.0,APPROVED
whiskynet.pl,brands.csv,48,Bowmore,Distillery brand,Suntory Global Spirits,Bowmore,Scotland,1,https://whiskynet.pl/en/brands/bowmore,EXACT_MATCH,Bowmore,1.0,APPROVED
whiskynet.pl,brands.csv,49,Bridge,Distillery brand,Clancy Family,Lough Ree Distillery,Ireland,0,https://whiskynet.pl/en/brands/bridge,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,50,Bruichladdich,Official brand,Rémy Cointreau,Bruichladdich,Scotland,1,https://whiskynet.pl/en/brands/bruichladdich,EXACT_MATCH,Bruichladdich,1.0,APPROVED
whiskynet.pl,brands.csv,51,Buffalo Trace,Official brand,Sazerac Company,Buffalo Trace Distillery,USA,1,https://whiskynet.pl/en/brands/buffalo-trace,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,52,Bulleit,Official brand,Diageo,Bulleit Distilling Co,USA,1,https://whiskynet.pl/en/brands/bulleit-brand,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,53,Bunnahabhain,Distillery brand,Distell,Bunnahabhain,Scotland,7,https://whiskynet.pl/en/brands/bunnahabhain,EXACT_MATCH,Bunnahabhain,1.0,APPROVED
whiskynet.pl,brands.csv,54,Bushmills,Distillery brand,Proximo Spirits,Old Bushmills Distillery,Northern Ireland,8,https://whiskynet.pl/en/brands/bushmills,EXACT_MATCH,Bushmills,1.0,APPROVED
