smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
38.19,0.2,0.0,0.0,0.4,0.2,0.4,0.0
38.20,0.0,0.0,0.0,1.0,0.8,0.4,0.8
38.21,0.0,0.0,0.0,0.6,0.4,0.8,0.6
39.104,0.0,0.0,0.0,1.0,0.2,0.4,0.0
39.110,0.0,0.0,0.0,0.0,0.6,0.2,0.2
039.43,0.0,0.2,0.0,0.0,0.0,0.6,0.0
039.52,0.2,0.0,0.0,0.2,0.4,0.8,0.0
39.57,0.0,0.0,0.0,0.0,0.2,1.0,0.0
39.71,0.0,0.0,0.0,1.0,0.6,0.2,0.6
39.75,0.4,0.0,0.4,0.0,0.0,1.0,0.6
39.81,0.2,0.0,0.0,0.6,0.0,0.6,0.2
39.83,0.0,0.0,0.0,0.0,0.0,0.8,0.8
39.84,0.0,0.0,0.0,0.8,0.0,0.6,0.8
39.89,0.0,0.0,0.0,0.8,0.4,1.0,0.6
39.92,0.2,0.0,0.0,0.4,0.2,1.0,0.2
39.93,0.0,0.0,0.0,0.4,0.0,0.6,0.4
39.94,0.0,0.0,0.0,1.0,0.4,0.4,0.6
39.95,0.0,0.0,0.0,0.8,0.2,1.0,0.2
39.98,0.0,0.0,0.0,0.6,0.2,0.6,0.6
39.99,0.0,0.0,0.4,0.2,0.2,1.0,0.6
41.43,0.2,0.0,0.0,1.0,0.2,0.4,0.4
41.46,0.0,0.0,0.0,0.0,0.0,1.0,0.4
41.49,0.8,0.0,0.2,0.6,0.6,0.6,1.0
41.50,0.0,0.0,0.0,0.6,1.0,0.8,1.0
41.51,0.0,0.0,0.0,0.4,0.2,1.0,0.4
41.54,0.0,0.0,0.2,0.8,0.0,0.8,0.6
41.57,0.0,0.0,0.0,1.0,0.4,1.0,0.6
41.58,0.0,0.0,0.0,0.6,0.4,0.2,0.2
41.61,0.0,0.0,0.0,0.6,0.6,0.8,0.4
41.66,0.0,0.0,0.0,1.0,1.0,0.4,0.6
41.67,0.0,0.0,0.0,1.0,0.4,1.0,0.2
41.71,0.0,0.0,0.0,1.0,0.4,0.8,0.2
42.10,0.0,0.2,0.0,0.4,1.0,1.0,0.4
42.16,0.2,0.2,0.0,0.0,0.0,0.0,0.2
42.17,0.6,0.0,0.0,0.2,0.4,0.8,0.2
42.19,1.0,0.4,0.0,0.4,0.8,0.6,0.2
42.20,1.0,0.6,0.0,0.0,0.0,0.2,0.2
43.15,0.2,0.6,0.0,0.0,0.0,0.0,0.0
44.27,0.0,0.0,0.0,0.4,0.4,1.0,0.0
44.41,0.2,0.0,0.0,0.2,0.2,0.6,0.4
44.43,0.0,0.0,0.0,0.6,0.0,1.0,0.2
44.48,0.4,0.0,0.4,0.8,0.4,0.0,0.8
44.49,0.0,0.0,0.2,0.4,0.8,0.2,0.2
44.51,0.0,0.4,0.0,0.4,0.2,0.2,0.2
44.55,0.2,0.0,0.0,0.2,0.2,0.4,0.4
44.58,0.0,0.0,0.0,1.0,0.0,1.0,0.4
44.59,0.8,0.0,0.0,0.2,0.0,0.6,0.0
