vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 0.0, 0.25, 0.25, 0.25, 0.0, 0.0)",4,2,p4_bulk_strong_candidate,"W000827,W000580,W000721,W000735",Tamdhu 10yo | Singleton Of Glendullan 18yo | Glencadam 30yo
"(0.25, 0.5, 0.25, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",4,4,exact,"W002000,W002676,W002870,W002946",Gordon & Macphail Private Collection 1979 (distilled At Glenlivet; Cask No. 19237) | Whiskey Del Bac Frontera Spanish Sherry Cask Finished | Austin 101 Light Whiskey
"(0.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002011,W002088,W002840,W003131",Tomintoul 10 Year Old | J.J. Corry The Vatting No. 1 | Penelope 9 Year Old Estate Collection Private Select Blend Of Straights (2024 Release)
"(0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002029,W002699,W003040,W003129",Bardstown Bourbon Co. Discovery Series Kentucky Straight (no. 2) | Starward Octave Barrels Single Malt | Dunbrody Small Batch Bourbon Cask Matured Single Grain
"(0.25, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",4,4,exact,"W002058,W002513,W002589,W003252",Borough Armagnac Cask- Finished (batch 03) | Lost Explorer Blanco | Litchﬁeld Distillery Batchers’ Straight Bourbon
"(0.0, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002079,W002361,W002687,W002851","Balcones Lineage Texas (batch Sml 20-1) | Stranahan’s 10 Year Old Mountain Angel Colorado (batch 001) | Barrell Gold Label Seagrass 20 Year Old Rye Finished In Martinique Rum, Madeira, And Apricot Brandy Barrels"
"(0.0, 0.75, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",4,4,exact,"W002094,W002170,W003139,W003287",Mars Komagatake Double Cellars (2019 Release) | The ImpEx Collection Invergordon 1974 49 Year Old | Jameson Triple Triple Marsala Cask Edition
"(0.0, 1.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002123,W002501,W002809,W003233",Angel’s Envy Cask Strength Sauternes And Toasted Oak Barrel Finished (batch rc1) | Aberfeldy 26 Year Old Languedoc Red Wine Cask Finished | Drumshanbo Marsala Cask
"(0.25, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",4,4,exact,"W002155,W002641,W002941,W003012",Deanston Virgin Oak Cask Finished | Garrison Brothers Balmorhea | Jack Daniel’s Special Reserve T Anyard Hill Single Barrel
"(0.0, 1.0, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",4,4,exact,"W002169,W002602,W003002,W003013",Claxton’s Strathclyde 28 Year Old Oloroso Hogshead | Prima & Ultima The Singleton 94 Of Glen Ord 34 Year Old 1987 | ImpEx Collection Spirit Of Y Orkshire 2018 Cask No. 3152
