whisky_id,name,class,enrichment_version,source_count,evidence_count,superseded_by
W003763,Jura 12,real_vector,1,1,1,
W003764,Jura 14 American Rye Cask,real_vector,1,1,1,
W003765,Jura Journey,real_vector,1,1,1,
W003767,Jura Rum Cask Finish,real_vector,1,1,1,
W003768,Jura Winter Edition,real_vector,1,1,1,
W003769,Kamet Single Malt,real_vector,1,1,1,
W003770,Kilbeggan Small Batch Rye,empty_or_null,1,1,1,QUARANTINE-2026-08-16
W003772,Kilchoman Batch Strength,real_vector,1,1,1,
W003774,Kilchoman Loch Gorm 2024 Release,real_vector,1,1,1,
W003775,Kilchoman Loch Gorm 2025 Release,all_zero,1,1,1,
W003777,Kilchoman Machir Bay,parse_fail,1,1,1,W001181
W003777,Kilchoman Machir Bay,parse_fail,1,1,1,W001181
